Customer ID,Recency,Frequency,Monetary,Cluster,Customer Segment
12346.0,325,12,77556.46,1,VIP Customers
12347.0,1,8,4921.53,1,VIP Customers
12348.0,74,5,2019.4,1,VIP Customers
12349.0,18,4,4428.69,1,VIP Customers
12350.0,309,1,334.4,0,Regular Customers
12351.0,374,1,300.93,0,Regular Customers
12352.0,35,10,2849.84,1,VIP Customers
12353.0,203,2,406.76,1,VIP Customers
12354.0,231,1,1079.4,1,VIP Customers
12355.0,213,2,947.61,1,VIP Customers
12356.0,22,6,6371.73,1,VIP Customers
12357.0,32,3,18287.66,1,VIP Customers
12358.0,1,5,3887.07,1,VIP Customers
12359.0,57,10,8873.39,1,VIP Customers
12360.0,51,8,4252.89,1,VIP Customers
12361.0,286,4,511.25,0,Regular Customers
12362.0,2,11,5356.23,1,VIP Customers
12363.0,109,2,552.0,1,VIP Customers
12364.0,7,4,1313.1,1,VIP Customers
12365.0,290,2,641.38,0,Regular Customers
12366.0,633,1,500.24,0,Regular Customers
12367.0,3,1,168.9,1,VIP Customers
12368.0,627,1,917.7,0,Regular Customers
12369.0,412,3,1791.15,0,Regular Customers
12370.0,50,7,4316.56,1,VIP Customers
12371.0,44,5,4067.38,1,VIP Customers
12372.0,71,3,1298.04,1,VIP Customers
12373.0,310,3,1127.65,0,Regular Customers
12374.0,24,4,2989.2200000000003,1,VIP Customers
12375.0,10,2,457.5,1,VIP Customers
12376.0,389,2,503.15,0,Regular Customers
12377.0,314,4,3426.32,0,Regular Customers
12378.0,129,2,5416.32,1,VIP Customers
12379.0,81,4,1620.22,1,VIP Customers
12380.0,21,11,9676.3,1,VIP Customers
12381.0,4,5,1845.31,1,VIP Customers
12383.0,184,5,1850.56,1,VIP Customers
12384.0,28,2,585.27,1,VIP Customers
12385.0,378,1,1938.4,0,Regular Customers
12386.0,337,2,401.9,0,Regular Customers
12387.0,414,1,143.94,0,Regular Customers
12388.0,15,8,3901.11,1,VIP Customers
12389.0,402,3,1433.33,0,Regular Customers
12390.0,79,1,549.84,1,VIP Customers
12391.0,21,6,2724.84,1,VIP Customers
12392.0,590,1,234.75000000000003,0,Regular Customers
12393.0,71,6,2399.4500000000003,1,VIP Customers
12394.0,63,2,1272.48,1,VIP Customers
12395.0,18,15,4721.17,1,VIP Customers
12396.0,673,1,931.43,0,Regular Customers
12397.0,35,2,2409.9,1,VIP Customers
12398.0,45,1,1635.66,1,VIP Customers
12399.0,118,7,1962.3,1,VIP Customers
12400.0,413,1,205.25,0,Regular Customers
12401.0,302,1,84.3,0,Regular Customers
12402.0,322,6,1256.9,0,Regular Customers
12403.0,49,2,1019.36,1,VIP Customers
12404.0,681,1,63.24,0,Regular Customers
12405.0,148,1,1710.39,1,VIP Customers
12406.0,21,5,6390.36,1,VIP Customers
12407.0,49,5,1708.12,1,VIP Customers
12408.0,32,8,4340.77,1,VIP Customers
12409.0,78,7,23419.29,1,VIP Customers
12410.0,308,3,1013.71,0,Regular Customers
12411.0,409,1,346.9,0,Regular Customers
12412.0,74,6,2596.93,1,VIP Customers
12413.0,66,4,999.45,1,VIP Customers
12414.0,216,6,952.41,1,VIP Customers
12415.0,23,28,144458.37,2,Low Value Customers
12416.0,656,1,202.56,0,Regular Customers
12417.0,2,20,6797.41,1,VIP Customers
12418.0,112,4,2021.2,1,VIP Customers
12419.0,385,2,503.01,0,Regular Customers
12420.0,63,1,600.39,1,VIP Customers
12421.0,15,6,1098.6,1,VIP Customers
12422.0,95,17,5231.8,1,VIP Customers
12423.0,0,10,2622.39,1,VIP Customers
12424.0,162,4,3340.03,1,VIP Customers
12425.0,77,2,1741.41,1,VIP Customers
12426.0,194,2,1345.21,1,VIP Customers
12427.0,21,3,825.8,1,VIP Customers
12428.0,25,9,7956.46,1,VIP Customers
12429.0,8,8,6204.41,1,VIP Customers
12430.0,42,1,256.4,1,VIP Customers
12431.0,35,27,10432.22,1,VIP Customers
12432.0,42,5,5059.32,1,VIP Customers
12433.0,0,10,16794.14,1,VIP Customers
12434.0,84,3,1103.43,1,VIP Customers
12435.0,79,6,13925.93,1,VIP Customers
12436.0,99,1,509.01,1,VIP Customers
12437.0,1,39,12683.4,1,VIP Customers
12438.0,13,2,2906.85,1,VIP Customers
12439.0,682,2,1142.88,0,Regular Customers
12440.0,461,2,859.2,0,Regular Customers
12441.0,366,1,173.55,0,Regular Customers
12442.0,2,1,172.06,1,VIP Customers
12443.0,731,1,485.31,0,Regular Customers
12444.0,20,5,5005.46,1,VIP Customers
12445.0,21,2,434.98,1,VIP Customers
12446.0,57,1,1002.31,1,VIP Customers
12447.0,242,1,476.49,1,VIP Customers
12448.0,43,1,449.45,1,VIP Customers
12449.0,21,6,4835.89,1,VIP Customers
12450.0,155,5,688.2,1,VIP Customers
12451.0,10,8,12669.88,1,VIP Customers
12452.0,16,2,430.57,1,VIP Customers
12453.0,133,1,707.09,1,VIP Customers
12454.0,55,5,16679.78,1,VIP Customers
12455.0,72,10,5879.95,1,VIP Customers
12456.0,43,3,3181.04,1,VIP Customers
12457.0,65,8,2995.91,1,VIP Customers
12458.0,70,4,1777.49,1,VIP Customers
12459.0,604,1,454.36,0,Regular Customers
12460.0,455,1,326.65,0,Regular Customers
12461.0,93,2,826.88,1,VIP Customers
12462.0,18,2,1189.59,1,VIP Customers
12463.0,52,4,1344.78,1,VIP Customers
12464.0,9,8,1212.05,1,VIP Customers
12465.0,16,2,742.1899999999999,1,VIP Customers
12466.0,681,1,56.73,0,Regular Customers
12467.0,422,1,132.8,0,Regular Customers
12468.0,187,5,3670.74,1,VIP Customers
12469.0,522,2,3070.54,0,Regular Customers
12470.0,689,1,211.95,0,Regular Customers
12471.0,1,79,39918.19,1,VIP Customers
12472.0,31,19,16249.29,1,VIP Customers
12473.0,28,5,3928.05,1,VIP Customers
12474.0,16,31,12372.75,1,VIP Customers
12475.0,53,2,1149.64,1,VIP Customers
12476.0,15,23,14083.91,1,VIP Customers
12477.0,22,9,20276.37,1,VIP Customers
12478.0,3,1,680.99,1,VIP Customers
12479.0,10,1,527.2,1,VIP Customers
12480.0,27,7,5464.85,1,VIP Customers
12481.0,22,15,12185.51,1,VIP Customers
12482.0,575,29,23691.4,0,Regular Customers
12483.0,16,19,5097.18,1,VIP Customers
12484.0,32,12,6354.1,1,VIP Customers
12485.0,528,1,708.1,0,Regular Customers
12486.0,431,1,1037.28,0,Regular Customers
12487.0,730,1,285.29999999999995,0,Regular Customers
12488.0,9,3,1298.66,1,VIP Customers
12489.0,335,1,334.93,0,Regular Customers
12490.0,4,21,9823.64,1,VIP Customers
12491.0,38,1,460.4,1,VIP Customers
12492.0,62,3,715.21,1,VIP Customers
12493.0,165,2,433.74,1,VIP Customers
12494.0,15,9,1815.27,1,VIP Customers
12495.0,640,1,357.4,0,Regular Customers
12496.0,619,2,45.34,0,Regular Customers
12497.0,81,3,6248.5,1,VIP Customers
12498.0,20,3,403.7000000000001,1,VIP Customers
12499.0,559,1,393.72,0,Regular Customers
12500.0,22,19,5955.21,1,VIP Customers
12501.0,336,1,2169.39,0,Regular Customers
12502.0,95,5,3723.87,1,VIP Customers
12503.0,583,1,1126.0,0,Regular Customers
12504.0,17,4,779.05,1,VIP Customers
12505.0,408,1,955.2,0,Regular Customers
12506.0,232,1,73.5,1,VIP Customers
12507.0,133,4,1844.06,1,VIP Customers
12508.0,25,2,397.88,1,VIP Customers
12509.0,283,1,176.5,0,Regular Customers
12510.0,142,9,5178.02,1,VIP Customers
12511.0,428,1,3084.02,0,Regular Customers
12512.0,65,2,132.18,1,VIP Customers
12513.0,112,1,612.29,1,VIP Customers
12514.0,266,2,1597.76,0,Regular Customers
12515.0,352,1,383.7,0,Regular Customers
12516.0,77,4,2648.62,1,VIP Customers
12517.0,27,5,2481.6,1,VIP Customers
12518.0,0,5,2056.89,1,VIP Customers
12519.0,63,2,716.54,1,VIP Customers
12520.0,78,5,2634.26,1,VIP Customers
12521.0,142,1,599.68,1,VIP Customers
12522.0,38,2,192.72,1,VIP Customers
12523.0,18,23,4352.35,1,VIP Customers
12524.0,8,17,11126.11,1,VIP Customers
12525.0,497,3,973.73,0,Regular Customers
12526.0,0,3,1316.66,1,VIP Customers
12527.0,81,5,735.51,1,VIP Customers
12528.0,8,6,1933.48,1,VIP Customers
12529.0,527,1,316.48,0,Regular Customers
12530.0,59,9,3759.26,1,VIP Customers
12531.0,14,2,1933.2,1,VIP Customers
12532.0,29,1,349.83000000000004,1,VIP Customers
12533.0,627,2,1367.89,0,Regular Customers
12534.0,130,1,1089.18,1,VIP Customers
12535.0,91,2,716.35,1,VIP Customers
12536.0,42,3,12601.830000000002,1,VIP Customers
12537.0,408,1,732.94,0,Regular Customers
12538.0,28,2,640.45,1,VIP Customers
12539.0,21,7,11214.75,1,VIP Customers
12540.0,19,33,22254.49,1,VIP Customers
12541.0,29,3,981.18,1,VIP Customers
12542.0,483,2,481.88,0,Regular Customers
12543.0,447,1,980.25,0,Regular Customers
12544.0,35,1,372.7,1,VIP Customers
12545.0,74,2,1000.39,1,VIP Customers
12546.0,46,2,1161.5,1,VIP Customers
12547.0,197,3,383.58,1,VIP Customers
12548.0,165,1,95.2,1,VIP Customers
12549.0,575,6,1575.68,0,Regular Customers
12550.0,78,1,964.83,1,VIP Customers
12551.0,357,1,168.0,0,Regular Customers
12552.0,38,2,437.82,1,VIP Customers
12553.0,7,12,4608.75,1,VIP Customers
12554.0,448,1,468.5,0,Regular Customers
12555.0,681,1,129.23,0,Regular Customers
12556.0,49,2,599.56,1,VIP Customers
12557.0,15,8,18096.14,1,VIP Customers
12558.0,7,1,269.96,1,VIP Customers
12559.0,310,2,561.71,0,Regular Customers
12560.0,4,3,2134.01,1,VIP Customers
12561.0,302,1,238.85,0,Regular Customers
12562.0,7,9,4966.92,1,VIP Customers
12563.0,408,1,249.24,0,Regular Customers
12564.0,260,1,456.9,0,Regular Customers
12565.0,288,1,145.92,0,Regular Customers
12566.0,85,1,351.65,1,VIP Customers
12567.0,22,15,11767.48,1,VIP Customers
12568.0,644,1,70.0,0,Regular Customers
